rule_id,repair_type,duration_low_days,duration_high_days,lead_time_low_days,lead_time_high_days,review_status,decision_reference,legacy_source_reference,source_name,source_url,access_date,source_excerpt,review_notes,version
1,Roof replacement / major repair,1.0,14.0,7,21,pending,D-V11-003,https://www.angi.com/articles/how-long-replace-roof.htm,Angi,https://www.angi.com/articles/how-long-replace-roof.htm,,,,1
2,Foundation crack repair,1.0,21.0,3,14,pending,D-V11-003,https://www.angi.com/articles/how-long-foundation-repair-takes.htm,Angi,https://www.angi.com/articles/how-long-foundation-repair-takes.htm,,,,1
3,Active water intrusion / leak,0.25,3.0,1,5,pending,D-V11-003,https://www.angi.com/articles/cost-to-repair-leaking-pipe.htm,Angi,https://www.angi.com/articles/cost-to-repair-leaking-pipe.htm,,,,1
4,Mold remediation,1.0,21.0,3,10,pending,D-V11-003,https://www.angi.com/companylist/mold-testing-and-remediation.htm,Angi,https://www.angi.com/companylist/mold-testing-and-remediation.htm,,,,1
5,Knob-and-tube wiring replacement,3.0,10.0,7,21,pending,D-V11-003,https://www.angi.com/articles/how-long-rewire-house.htm,Angi,https://www.angi.com/articles/how-long-rewire-house.htm,,,,1
6,Failed HVAC replacement,0.5,5.0,3,14,pending,D-V11-003,https://www.angi.com/articles/insider-s-price-guide-new-heating-and-cooling-system.htm,Angi,https://www.angi.com/articles/insider-s-price-guide-new-heating-and-cooling-system.htm,,,,1
7,Broken plumbing active,0.13,3.0,1,5,pending,D-V11-003,https://www.homeadvisor.com/cost/plumbing/slab-leak-repair/,HomeAdvisor,https://www.homeadvisor.com/cost/plumbing/slab-leak-repair/,,,,1
8,Electrical panel upgrade,0.5,4.0,7,21,pending,D-V11-003,https://www.homeadvisor.com/cost/electrical/upgrade-an-electrical-panel/,HomeAdvisor,https://www.homeadvisor.com/cost/electrical/upgrade-an-electrical-panel/,,,,1
9,Septic / sewer line failure,1.0,56.0,5,14,pending,D-V11-003,https://www.angi.com/articles/how-long-septic-replacement.htm,Angi,https://www.angi.com/articles/how-long-septic-replacement.htm,,,,1
10,Caulking / weatherstripping,0.25,1.0,0,2,estimated,D-V11-003,No single-source duration baseline available. Labor duration defies daily metric per source analysis.,No single-source baseline,,,,No single-source duration baseline available. Labor duration defies daily metric per source analysis.,1
11,Gutter repair / replacement,0.13,7.0,3,10,pending,D-V11-003,https://www.angi.com/companylist/us/mi/dearborn/gutter-repair-replacement.htm,Angi,https://www.angi.com/companylist/us/mi/dearborn/gutter-repair-replacement.htm,,,,1
12,Peeling exterior paint,3.0,6.0,3,14,pending,D-V11-003,https://www.homeadvisor.com/cost/painting/paint-a-home-exterior/,HomeAdvisor,https://www.homeadvisor.com/cost/painting/paint-a-home-exterior/,,,,1
13,Non-functional minor systems,0.5,2.0,1,7,estimated,D-V11-003,No single-source duration baseline available. Scope varies by system type. Requires GC review.,No single-source baseline,,,,No single-source duration baseline available. Scope varies by system type. Requires GC review.,1
14,HVAC filter / tune-up,0.125,0.25,1,5,estimated,D-V11-003,No single-source duration baseline available. 1-2 hours typical but varies by service agreement.,No single-source baseline,,,,No single-source duration baseline available. 1-2 hours typical but varies by service agreement.,1
15,Worn deck / porch boards,1.0,5.0,3,14,estimated,D-V11-003,No single-source duration baseline available. Board count dependent. Requires GC review.,No single-source baseline,,,,No single-source duration baseline available. Board count dependent. Requires GC review.,1
16,Cracked driveway / walkway,1.0,3.0,3,10,estimated,D-V11-003,No single-source duration baseline available. Cure time adds days. Requires GC review.,No single-source baseline,,,,No single-source duration baseline available. Cure time adds days. Requires GC review.,1
17,Window seal failure,0.5,2.0,7,21,estimated,D-V11-003,No single-source duration baseline available. Glass unit order lead time drives range.,No single-source baseline,,,,No single-source duration baseline available. Glass unit order lead time drives range.,1
18,Interior paint,0.25,3.0,3,10,pending,D-V11-003,https://www.angi.com/articles/how-long-does-it-take-to-paint-a-room.htm,Angi,https://www.angi.com/articles/how-long-does-it-take-to-paint-a-room.htm,,,,1
19,Flooring refinish or replacement,3.0,5.0,3,14,pending,D-V11-003,https://www.angi.com/articles/how-long-does-refinishing-hardwood-floors-take.htm,Angi,https://www.angi.com/articles/how-long-does-refinishing-hardwood-floors-take.htm,,,,1
20,Kitchen cabinet hardware update,0.25,1.0,2,7,estimated,D-V11-003,No single-source duration baseline available. Hardware shipping dependent.,No single-source baseline,,,,No single-source duration baseline available. Hardware shipping dependent.,1
21,Fixture replacement,0.25,1.0,1,7,estimated,D-V11-003,No single-source duration baseline available. Conditional on plumbing scope.,No single-source baseline,,,,No single-source duration baseline available. Conditional on plumbing scope.,1
22,Landscaping / curb appeal,1.0,5.0,1,7,estimated,D-V11-003,No single-source duration baseline available. Scope-dependent.,No single-source baseline,,,,No single-source duration baseline available. Scope-dependent.,1
23,Deep cleaning / declutter,0.5,1.25,0,3,pending,D-V11-003,https://www.angi.com/articles/how-long-deep-clean-house.htm,Angi,https://www.angi.com/articles/how-long-deep-clean-house.htm,,,,1
