seed_row_id,repair_type,tier,trigger_issues,goal_filter,cost_low_usd,cost_high_usd,cost_source_label,duration_band,lead_time_days,diy_flag,diy_reason,do_not_spend_goals,do_not_spend_reason,next_step_template,review_status,version
CAT-001,Active roof leak repair,critical,roof_leak,all,400,1500,Standard estimate v1.0,days,7,no,Roof work is a fall hazard and patch quality affects inspection,,,Get two roofer quotes this week — leak repairs often book 1–2 weeks out.,proposed_pending_source_QA,1
CAT-002,Active plumbing leak repair,critical,plumbing_leak,all,150,600,Standard estimate v1.0,hours,3,no,Licensed plumber work; hidden damage is common behind leaks,,,Call a licensed plumber this week before the leak grows into drywall damage.,proposed_pending_source_QA,1
CAT-003,Repair non-working outlets or switches,critical,electrical_issues,all,150,500,Standard estimate v1.0,days,5,no,Electrical repairs require a licensed electrician in most states,,,Book a licensed electrician — dead outlets are a standard inspection flag.,proposed_pending_source_QA,1
CAT-004,Install or replace smoke and CO detectors,critical,smoke_detectors,all,30,120,Standard estimate v1.0,hours,0,yes,,,,Pick up detectors this week — most states require working units at sale.,proposed_pending_source_QA,1
CAT-005,Mold remediation for visible growth,critical,mold,all,500,3000,Standard estimate v1.0,weeks,7,conditional,DIY only for areas under 10 sq ft; larger areas need a remediation professional,,,Get a remediation quote — mold is a disclosure-sensitive item in most states.,proposed_pending_source_QA,1
CAT-006,Repair and repaint water-stained ceilings or walls,deferred_maintenance,water_stains,all,200,600,Standard estimate v1.0,days,3,conditional,DIY-friendly once the source of the moisture is confirmed fixed,,,Confirm the leak source is fixed first — then patch and repaint the stain.,proposed_pending_source_QA,1
CAT-007,HVAC service and tune-up,deferred_maintenance,hvac_old,all,150,450,Standard estimate v1.0,hours,7,no,Licensed HVAC technician; a recent service record reassures buyers,,,Schedule an HVAC tune-up and keep the receipt for buyers.,proposed_pending_source_QA,1
CAT-008,Replace broken window glass,deferred_maintenance,broken_window,all,150,500,Standard estimate v1.0,days,7,conditional,Ground-floor single panes are DIY-able; upper floors or sealed units need a pro,,,Measure the pane and get a glass shop quote this week.,proposed_pending_source_QA,1
CAT-009,Gutter cleaning and repair,deferred_maintenance,gutters,all,100,400,Standard estimate v1.0,hours,3,conditional,One-story homes are DIY-friendly; two-story work needs proper ladder safety,,,Clear and re-seat gutters before the next rain — overflow stains siding fast.,proposed_pending_source_QA,1
CAT-010,Replace worn deck or porch boards,deferred_maintenance,deck_wear,all,200,800,Standard estimate v1.0,days,5,conditional,Board swaps are DIY-able; structural posts and railings need a pro,,,Walk the deck and count bad boards — replace before buyers walk it.,proposed_pending_source_QA,1
CAT-011,Pest inspection and treatment,deferred_maintenance,pests,all,150,500,Standard estimate v1.0,days,7,no,Licensed pest control; many buyers' lenders require a clear report,,,Book a licensed pest inspection — lenders often require a clear report.,proposed_pending_source_QA,1
CAT-012,Driveway and walkway crack repair,cosmetic_value_add,driveway_cracks,all,100,400,Standard estimate v1.0,days,0,yes,,,,Fill visible cracks with concrete filler — an easy weekend job.,proposed_pending_source_QA,1
CAT-013,Re-caulk tubs showers and windows,cosmetic_value_add,caulking_drafts,all,50,200,Standard estimate v1.0,hours,0,yes,,,,Re-caulk kitchens and baths — fresh lines read as well-maintained.,proposed_pending_source_QA,1
CAT-014,Water heater service and flush,deferred_maintenance,water_heater_old,all,100,250,Standard estimate v1.0,hours,5,no,Gas and pressure-relief work belongs with a licensed plumber,,,Schedule a water heater flush and keep the service record.,proposed_pending_source_QA,1
CAT-015,Deep cleaning before photos,listing_readiness,always,all,200,500,Standard estimate v1.0,days,3,conditional,DIY works; professionals finish a whole house in a day,,,Book a deep clean for the week before photos.,proposed_pending_source_QA,1
CAT-016,Curb appeal refresh — mulch trim and mow,listing_readiness,always,all,150,600,Standard estimate v1.0,days,0,yes,,,,Refresh mulch and trim hedges the weekend before listing.,proposed_pending_source_QA,1
CAT-017,Interior paint touch-ups in high-traffic areas,listing_readiness,always,all,100,400,Standard estimate v1.0,days,0,yes,,,,Touch up scuffs in hallways stairs and around door frames.,proposed_pending_source_QA,1
CAT-018,Declutter and closet organization,listing_readiness,always,all,0,150,Standard estimate v1.0,days,0,yes,,,,Box up half of what's in closets — buyers open every door.,proposed_pending_source_QA,1
CAT-019,Update dated cabinet hardware and light fixtures,listing_readiness,always,sell;flip,100,500,Standard estimate v1.0,days,3,conditional,Simple swaps are DIY; anything needing new wiring is not,,,Swap dated pulls and builder-grade fixtures — small cost high visual return.,proposed_pending_source_QA,1
CAT-020,Professional listing photography,listing_readiness,always,sell,150,400,Standard estimate v1.0,hours,7,no,Hire a professional — listing photos drive first impressions online,,,Book a photographer now — good ones schedule a week or more out.,proposed_pending_source_QA,1
CAT-021,Professional staging consultation,listing_readiness,always,sell,300,800,Standard estimate v1.0,days,21,no,Stagers bring inventory and an outside eye DIY can't replicate,,,Call stagers early — they often book three weeks out.,proposed_pending_source_QA,1
CAT-022,Full kitchen remodel,cosmetic_value_add,never,all,15000,40000,Standard estimate v1.0,month_plus,30,no,Major remodel requiring permits and licensed trades,sell;flip;refinance,Major remodels rarely return their cost at sale and add weeks of work — buyers prefer to choose their own finishes,,proposed_pending_source_QA,1
